Team,MTL,TOR
Goals,0,1
Shots,5,13
Shooting Pct.,0.0,0.07692307692307693
PP Goals,0,0
PP Attempts,1,1
PP Pct.,0,0
Penalties,1,1
Penalty Mintues,2,2
Attack Zone Time,4:36,6:29
Faceoffs Won,3,6
Faceoff Win Pct.,0.3333333333333333,0.6666666666666666
Body Checks,10,17
Pass Attempts,43,59
Pass Completions,18,30
Passing Pct.,0.4186046511627907,0.5084745762711864
1st Period Goals,0,0
2nd Period Goals,0,0
3rd Period Goals,0,1
OT Goals,0,0
1st Period Shots,3,4
2nd Period Shots,1,4
3rd Period Shots,1,5
OT Shots,0,0
Power Play Time,1:22,1:22
PP Shots,1,2
PP Shooting Pct.,0,0
SH Goals,0,1
Breakaway Attempts,1,5
Breakaway Goals,0,0
Breakaway Pct.,0,0
One Timer Attempts,3,3
One Timer Goals,0,0
One Timer Pct.,0,0
Penalty Shot Attempts,0,0
Penalty Shot Goals,0,0
Penalty Shot Pct.,0,0


TOR Goals
Period,Time,Scorer,Assist #1,Assist #2,Team Strength
3rd,3:38,Joffrey Lupul,Petri Kontiola,,SH

MTL Goals
Period,Time,Scorer,Assist #1,Assist #2,Team Strength


TOR Penalties
Period,Time,Penalty,Player
3rd,2:56,Dion Phaneuf,Charging

MTL Penalties
Period,Time,Penalty,Player
3rd,1:34,Tom Gilbert,Hooking


TOR Player Stats

Goalie Stats
Name,Goals Conceded,Shots Faced,Save Pct.,Assists,Points,Penalty Minutes,Checks,Time on Ice
Jonathan Bernier,0,5,1.0,0,0,0,0,14:51
James Reimer,0,0,0.0,0,0,0,0,0:00
Christopher Gibson,0,0,0.0,0,0,0,0,0:00

Forward Stats
Name,Goals,Assists,Points,Shots on Goal,Shooting Pct.,Penalty Minutes,Checks,Time on Ice
Tyler Bozak,0,0,0,1,0.0,1,0,6:03
Petri Kontiola,0,1,1,3,0.0,1,1,7:37
Leo Komarov,0,0,0,5,0.0,2,1,8:17
Nazem Kadri,0,0,0,0,0.0,0,0,0:00
Mike Santorelli,0,0,0,0,0.0,0,0,0:00
Peter Holland,0,0,0,0,0.0,0,0,0:00
Phil Kessel,0,0,0,1,0.0,3,1,6:11
James vanRiemsdyk,0,0,0,2,0.0,3,1,7:24
Joffrey Lupul,1,0,1,1,1.0,0,1,7:37
David Booth,0,0,0,0,0.0,0,0,0:00
David Clarkson,0,0,0,0,0.0,0,0,0:00
William Nylander,0,0,0,0,0.0,0,0,0:00
Connor Brown,0,0,0,0,0.0,0,0,0:00
Troy Bodie,0,0,0,0,0.0,0,0,0:00
Colton Orr,0,0,0,0,0.0,0,0,0:00

Defenseman Stats
Name,Goals,Assists,Points,Shots on Goal,Shooting Pct.,Penalty Minutes,Checks,Time on Ice
Dion Phaneuf,0,0,0,0,0.0,2,1,6:27
Cody Franson,0,0,0,0,0.0,3,1,6:08
Jake Gardiner,0,0,0,0,0.0,2,2,8:39
Roman Polak,0,0,0,0,0.0,0,1,8:53
Morgan Rielly,0,0,0,0,0.0,0,0,0:00
Stephane Robidas,0,0,0,0,0.0,0,0,0:00
Viktor Loov,0,0,0,0,0.0,0,0,0:00
Petter Granberg,0,0,0,0,0.0,0,0,0:00


MTL Player Stats

Goalie Stats
Name,Goals Conceded,Shots Faced,Save Pct.,Assists,Points,Penalty Minutes,Checks,Time on Ice
Carey Price,1,13,0.9230769230769231,0,0,0,0,15:01
Peter Budaj,0,0,0.0,0,0,0,0,0:00
Dustin Tokarski,0,0,0.0,0,0,0,0,0:00

Forward Stats
Name,Goals,Assists,Points,Shots on Goal,Shooting Pct.,Penalty Minutes,Checks,Time on Ice
Tomas Plekanec,0,0,0,0,0.0,1,3,7:56
David Desharnais,0,0,0,1,0.0,3,4,7:05
Lars Eller,0,0,0,0,0.0,0,0,0:09
Manny Malhotra,0,0,0,0,0.0,0,0,0:00
Max Pacioretty,0,0,0,0,0.0,0,5,6:37
Alex Galchenyuk,0,0,0,1,0.0,0,0,6:37
P.A. Parenteau,0,0,0,1,0.0,2,0,6:53
Brendan Gallagher,0,0,0,1,0.0,1,1,7:30
Dale Weise,0,0,0,0,0.0,0,1,0:11
Rene Bourque,0,0,0,0,0.0,0,0,0:00
Travis Moen,0,0,0,0,0.0,0,0,0:00
Nikita Scherbak,0,0,0,0,0.0,0,0,0:00
Brandon Prust,0,0,0,0,0.0,0,0,0:00
Michael Bournival,0,0,0,0,0.0,0,0,0:00
Jiri Sekac,0,0,0,0,0.0,0,0,0:00

Defenseman Stats
Name,Goals,Assists,Points,Shots on Goal,Shooting Pct.,Penalty Minutes,Checks,Time on Ice
P.K. Subban,0,0,0,0,0.0,2,1,8:42
Andrei Markov,0,0,0,1,0.0,0,1,8:09
Alexei Emelin,0,0,0,0,0.0,1,1,6:38
Tom Gilbert,0,0,0,0,0.0,0,0,6:11
Mike Weaver,0,0,0,0,0.0,0,0,0:14
Jarred Tinordi,0,0,0,0,0.0,0,0,0:14
Nathan Beaulieu,0,0,0,0,0.0,0,0,0:00
Dalton Thrower,0,0,0,0,0.0,0,0,0:00
